Year,Ligne,Localité Map,Montee_Weekday_vac,Descente_Weekday_vac
2019,50,NA,11.72928177,9.867403315
2019,50,Kautenbach,123.6470588,0
2019,50,Kleinbettingen,338.8767123,406.709589
2019,50,Luxembourg,3518.654795,3725.945205
2019,50,Mamer,284.5589041,285.8465753
2019,50,Mamer,200.6328767,194.3506849
2019,50,Mersch,121.8235294,29.29411765
2019,50,Michelau,37.29411765,0
2019,50,Pfaffenthal-Kirchberg,4,126.6470588
2019,50,Rodange,0,28.84530387
2019,50,Troisvierges,109.2941176,0.352941176
2019,50,Virton,30.22651934,0
2019,50,Wilwerwiltz,34.58823529,0
2019,60,Audun-le-Tiche,382.769863,312.2027397
2019,60,Belval,160.3561644,191.9452055
2019,60,Belval,95.74520548,97.20547945
2019,60,Belval,1864.972603,1584.230137
2019,60,Belvaux,79.11232877,98.63287671
2019,60,Berchem,345.2712329,347.7178082
2019,60,Bettembourg,2475.991781,2532.128767
2019,60,Betzdorf,47.70402299,55.71551724
2019,60,Cents-Hamm,44.63505747,34.1091954
2019,60,Differdange,1133.945205,1113.241096
2019,60,Dudelange,201.2794521,190.6383562
2019,60,Dudelange,292.0191781,249.8191781
2019,60,Dudelange,143.9917808,132.1780822
2019,60,Dudelange,535.4054795,438.6246575
2019,60,Esch-sur-Alzette,3511.531507,3321.416438
2019,60,Howald,257.7671233,365.7780822
2019,60,Kayl,9.553424658,9.539726027
2019,60,Lamadelaine,61.44383562,172.490411
2019,60,Luxembourg,5740.232877,5821.347945
2019,60,Manternach,37.48850575,44.72988506
2019,60,Mertert,33.09770115,54.15804598
2019,60,Munsbach,53.68965517,65.85632184
2019,60,Niederkorn,208.3945205,189.4328767
2019,60,Noertzange,286.4465753,290.0794521
2019,60,Oberkorn,269.8684932,278.0328767
2019,60,Oetrange,45.78448276,58.22126437
2019,60,Pétange,612.3616438,842.4958904
2019,60,Rodange,279.0054795,386.2520548
2019,60,Roodt-sur-Syre,74.63218391,81.76724138
2019,60,Rumelange,21.63561644,22.38082192
2019,60,Contern,100.8821839,82.11781609
2019,60,Schifflange,944.1945205,824.5123288
2019,60,Tétange,6.575342466,6.005479452
2019,60,Volmerange-les-Mines,121.8630137,111.3123288
2019,60,Wasserbillig,95.6091954,139.9051724
2019,60,Wecker,89.85057471,99.71264368
2019,70,Athus,836.5835616,659.7315068
2019,70,NA,0.438679245,45.0990566
2019,70,Bascharage,885.3287671,1004.369863
2019,70,Dippach,367.3506849,409.430137
2019,70,Dommeldange,32.41666667,85.36206897
2019,70,NA,11.48387097,11.96774194
2019,70,Hollerich,398.1863014,658.2767123
2019,70,Lamadelaine,244.6712329,255.1068493
2019,70,Leudelange,79.93972603,154.7068493
2019,70,Longwy,569.0136986,396.3205479
2019,70,Luxembourg,4642.216438,4667.684932
2019,70,Mersch,181.9403974,107.6092715
2019,70,Pétange,1456.808219,1390.430137
2019,70,Pfaffenthal-Kirchberg,149.6810345,223.3965517
2019,70,Rodange,1847.578082,1589.169863
2019,70,Schouweiler,79.29589041,107.0383562
2019,70,Virton,23.32258065,19.90322581
2019,90,Bettembourg,1471.947945,1463.39726
2019,90,Hettange-Grande,736.5561644,956.0219178
2019,90,Howald,227.6986301,409.860274
2019,90,Luxembourg,7945.30411,8710.046575
2019,90,Thionville,5782.326027,4948.487671
2020,10,Clervaux,178.6311475,160.1939891
2020,10,Colmar-Berg,100.773224,90.25409836
2020,10,Cruchten,58.98087432,51.93442623
2020,10,Diekirch,456.0737705,355.2185792
2020,10,Dommeldange,265.795082,227.1393443
2020,10,Drauffelt,43.46174863,42.79234973
2020,10,Ettelbruck,1124.650273,1165.639344
2020,10,Goebelsmühle,2.702185792,6.898907104
2020,10,Gouvy,87.6147541,36.1420765
2020,10,Heisdorf,105.5901639,104.6502732
2020,10,Kautenbach,478.7677596,473.057377
2020,10,Lintgen,192.0218579,148.5846995
2020,10,Lorentzweiler,173.6338798,159.2076503
2020,10,Luxembourg,2526.270492,2653.852459
2020,10,Merkholtz,0.013661202,23.06010929
2020,10,Mersch,1110.404372,1027.822404
2020,10,Michelau,33.91803279,46.49453552
2020,10,Wiltz,0.423497268,6.275956284
2020,10,Pfaffenthal-Kirchberg,842.6748634,1123.661202
2020,10,Schieren,107.9098361,92.09016393
2020,10,Troisvierges,222.8333333,215.0874317
2020,10,Walferdange,220.352459,176.3251366
2020,10,Wiltz,320.6284153,274.704918
2020,10,Wilwerwiltz,50.65300546,58.46721311
2020,16,Belval,17.39071038,30.61202186
2020,16,Belval,34.2431694,19.49453552
2020,16,Belval,693.2240437,704.1994536
2020,16,Belvaux,28.02185792,13.3989071
2020,16,Berchem,95.80054645,74.50273224
2020,16,Bettembourg,706.363388,602.6748634
2020,16,Clervaux,118.442623,213.5846995
2020,16,Differdange,500.3333333,431.352459
2020,16,Dommeldange,159.8715847,222.1775956
2020,16,Drauffelt,27.54098361,42.33879781
2020,16,Esch-sur-Alzette,1276.95082,1133.234973
2020,16,Ettelbruck,643.7486339,563.7923497
2020,16,Goebelsmühle,31.1420765,36.19398907
2020,16,Howald,78.67213115,141.5628415
2020,16,Kautenbach,136.7978142,157.852459
2020,16,Lamadelaine,72.3989071,46.76775956
2020,16,Luxembourg,2628.505464,2640.70765
2020,16,Mersch,390.8770492,404.8142077
2020,16,Michelau,0,5.567723343
2020,16,Niederkorn,75.0136612,48.63934426
2020,16,Noertzange,83.56830601,76.69398907
2020,16,Oberkorn,72.83060109,63.2568306
2020,16,Pétange,265.284153,332.2131148
2020,16,Pfaffenthal-Kirchberg,461.4371585,603.7978142
2020,16,Rodange,132.4153005,159.2540984
2020,16,Schifflange,349.5218579,292.0382514
2020,16,Troisvierges,166.2377049,155.0901639
2020,16,Walferdange,102.6229508,120.6612022
2020,16,Wilwerwiltz,39.59289617,49.66393443
2020,30,Betzdorf,51.30874317,50.55464481
2020,30,Cents-Hamm,41,53.45355191
2020,30,Igel,41.91256831,56.03825137
2020,30,Konz,123.2404372,163.3060109
2020,30,Luxembourg,1278.530055,1366.898907
2020,30,Manternach,56.13387978,49.17486339
2020,30,Mertert,49.27868852,54.47540984
2020,30,Munsbach,102.8934426,96.71311475
2020,30,Oetrange,76.58196721,79.25409836
2020,30,Roodt-sur-Syre,113.8278689,112.1338798
2020,30,Contern,278.6229508,316.3387978
2020,30,Trier,446.9781421,288.4918033
2020,30,Trier,187.0191257,173.2704918
2020,30,Wasserbillig,413.3852459,391.0245902
2020,30,Wecker,124.0081967,117.3852459
2020,50,Arlon,1252.060109,1104.877049
2020,50,Bertrange,163.9699454,149.2896175
2020,50,Capellen,109.6038251,101.8005464
2020,50,Clervaux,62.32258065,14.16129032
2020,50,Dommeldange,0,0
2020,50,Drauffelt,41.64516129,0
2020,50,Ettelbruck,129.7419355,22.12903226
2020,50,Gouvy,27.58064516,0
2020,50,Kautenbach,87.93548387,0
2020,50,Kleinbettingen,207.1584699,239.1584699
2020,50,Luxembourg,1844.040984,1995.822404
2020,50,Mamer,172.6502732,188.557377
2020,50,Mamer,135.442623,120.2185792
2020,50,Mersch,149.2258065,23.58064516
2020,50,Michelau,11.32258065,0
2020,50,Pfaffenthal-Kirchberg,1,182.9354839
2020,50,Troisvierges,84.58064516,0.838709677
2020,50,Wilwerwiltz,48.16129032,0
2020,60,Audun-le-Tiche,288.4617486,262.2786885
2020,60,Belval,56.95081967,33.77868852
2020,60,Belval,39.29234973,45.2295082
2020,60,Belval,776.8961749,716.6557377
2020,60,Belvaux,41.81967213,41.20491803
2020,60,Berchem,106.5409836,126.3142077
2020,60,Bettembourg,1303.240437,1372.743169
2020,60,Differdange,576.5765027,562.1010929
2020,60,Dudelange,151.4180328,111.4453552
2020,60,Dudelange,183.4098361,144.1284153
2020,60,Dudelange,94.73224044,112.5355191
2020,60,Dudelange,373.942623,278.147541
2020,60,Esch-sur-Alzette,1821.087432,1696.377049
2020,60,Howald,101.8333333,146.9672131
2020,60,Kayl,5.551912568,1.991803279
2020,60,Lamadelaine,46.28415301,90.27868852
2020,60,Luxembourg,2423.040984,2698.907104
2020,60,Niederkorn,84.45081967,98.67213115
2020,60,Noertzange,139.3114754,125.3770492
2020,60,Oberkorn,102.9617486,103.2377049
2020,60,Pétange,357.2650273,343.2486339
2020,60,Rodange,188.3032787,225.1448087
2020,60,Rumelange,11.01912568,13.40983607
2020,60,Schifflange,408.7677596,372.489071
2020,60,Tétange,3.800546448,6.051912568
2020,60,Volmerange-les-Mines,111.7923497,70.06557377
2020,70,Athus,588.5191257,462.4016393
2020,70,Bascharage,540.284153,566.6393443
2020,70,Dippach,230.863388,216.1065574
2020,70,Hollerich,247.1338798,406.2213115
2020,70,Lamadelaine,184.3661202,130.1612022
2020,70,Leudelange,79.1010929,130.1857923
2020,70,Longwy,331.5601093,274.8032787
2020,70,Luxembourg,2633.396175,2829.31694
2020,70,Pétange,902.3415301,868.1120219
2020,70,Rodange,1123.420765,959.715847
2020,70,Schouweiler,51.16120219,69.16120219
2020,90,Bettembourg,954.6010929,896.6502732
2020,90,Hettange-Grande,406.4918033,413.3770492
2020,90,Howald,148.2513661,255.3770492
2020,90,Luxembourg,4441.710383,4962.855191
2020,90,Thionville,3004.330601,2693.931694
2021,10,Clervaux,245.339726,265.7890411
2021,10,Colmar-Berg,129.2575342,117.6054795
2021,10,Cruchten,72.07671233,90.58082192
2021,10,Diekirch,646.8328767,498.2136986
2021,10,Dommeldange,296.8054795,328.9534247
2021,10,Drauffelt,51.59178082,51.85479452
2021,10,Ettelbruck,1409.30137,1862.882192
2021,10,Goebelsmühle,10.4109589,10.77260274
2021,10,Gouvy,12.41369863,27.8630137
2021,10,Heisdorf,117.2328767,142.5041096
2021,10,Kautenbach,664.5917808,664.3616438
2021,10,Lintgen,251.0164384,213.9972603
2021,10,Lorentzweiler,199.9479452,205.8493151
2021,10,Luxembourg,3197.874251,2545.811377
2021,10,Merkholtz,0,2.016438356
2021,10,Mersch,1267.808219,1349.024658
2021,10,Michelau,39.64109589,54.29589041
2021,10,Wiltz,0,55.59452055
2021,10,Pfaffenthal-Kirchberg,1019.813699,1271.449315
2021,10,Schieren,156.5342466,130.3972603
2021,10,Troisvierges,238.2739726,261.0712329
2021,10,Walferdange,237.6356164,258.2794521
2021,10,Wiltz,347.6575342,344.9780822
2021,10,Wilwerwiltz,55.67945205,63.69589041
2021,16,Belval,58.82802548,88.96178344
2021,16,Belval,36.25477707,40.05414013
2021,16,Belval,605.751497,556.6287425
2021,16,Belvaux,33.39490446,27.39490446
2021,16,Berchem,117.9968153,102.0955414
2021,16,Bettembourg,656.7874251,634.5389222
2021,16,Clervaux,223.5646552,214.4612069
2021,16,Differdange,492.0389222,504.1586826
2021,16,Dommeldange,301.6206897,183.9310345
2021,16,Drauffelt,44.17241379,56.18965517
2021,16,Esch-sur-Alzette,1297.943114,1193.607784
2021,16,Ettelbruck,762.3017241,744.1206897
2021,16,Goebelsmühle,39.52155172,76.53017241
2021,16,Howald,103.1407186,152.7065868
2021,16,Kautenbach,209.1163793,165.0732759
2021,16,Lamadelaine,111.3066038,57.37735849
