origin,dest,count
1093,12071,26.3636364
1093,12091,11.3809524
1093,13041,30.1093117
1093,13061,21.45
1093,13071,38.9392713
1093,13081,11.4166667
1093,54099,83.2797858
1093,54137,97.744775
1093,54270,27.4055285
1093,54395,53.8193652
1093,57022,34.9271567
1093,57038,46.3786996
1093,57203,53.8193652
1093,57227,84.3806038
1093,57463,108.707237
1093,57498,46.3786996
1093,57672,155.649236
1093,57733,99.2150197
1093,81001,148.906931
1093,81004,66.6548479
1093,81013,106.603263
1093,82014,50.3811129
1093,85045,54.4012642
1093,85046,102.011287
1093,91034,56.2221503
1093,6412001,11.4615385
1093,7211001,114.522017
1093,7235068,60.9456038
1093,10042113,18.4676002
1101,1031,6.08333333
1101,1061,63.1480518
1101,1071,28.4264706
1101,1091,20.6730769
1101,1093,20.4170437
1101,1101,488.34669
1101,1111,6.08333333
1101,2011,4.84615385
1101,2041,4.33333333
1101,2045,5.22222222
1101,2071,4
1101,3012,19.1140351
1101,3013,29.5663004
1101,3014,24.5
1101,3015,50.5083542
1101,3017,13.1111111
1101,3019,4.33333333
1101,3020,9.95726496
1101,3021,4.33333333
1101,3022,16.5277778
1101,3023,9.02262443
1101,3024,4.33333333
1101,4011,5.22222222
1101,4021,8.35294118
1101,4032,4.17647059
1101,4043,5.11111111
1101,4061,5.11111111
1101,4071,7.6501548
1101,4081,29.5403509
1101,5021,4.17647059
1101,5031,8.33333333
1101,5061,4.17647059
1101,5091,36.1279412
1101,5111,119.836562
1101,7041,5.11111111
1101,7061,4.84615385
1101,7071,4.17647059
1101,8021,5.22222222
1101,8051,4.84615385
1101,8091,33.682967
1101,12011,3.57142857
1101,81003,8.45360372
1101,7211001,4
1111,1011,54.8495382
1111,1031,110.421369
1111,1041,157.983722
1111,1051,346.93938
1111,1061,173.365479
1111,1071,333.973506
1111,1091,586.090077
1111,1093,221.283539
1111,1101,11.875
1111,1111,6298.1538
1111,2011,80.0297067
1111,2021,127.762821
1111,2023,75.25
1111,2031,134.901099
1111,2032,11.4666667
1111,2041,61.111447
1111,2042,52.6895484
1111,2043,30.2857143
1111,2044,14.76
1111,2045,49.7830157
1111,2051,145.055556
1111,2071,110.391205
1111,2082,66.6690909
1111,2091,77.3680654
1111,2092,78.7985056
1111,2101,10.35
1111,2121,36.6470588
1111,2133,72.8894329
1111,2141,22.5
1111,3011,60.5714286
1111,3012,123.539467
1111,3013,30.9166667
1111,3014,243.153001
1111,3015,147.05362
1111,3016,12.5384615
1111,3017,74.4611765
1111,3019,259.181766
1111,3020,52.937107
1111,3021,43.6606335
1111,3022,179.171181
1111,3023,84.3634669
1111,4011,177.946509
1111,4021,19.5882353
1111,4031,134.108772
1111,4032,49.3857143
1111,4043,30.2857143
1111,4051,21.9411765
1111,4061,78.9
1111,4081,235.757202
1111,5021,10.6
1111,5031,8.94736842
1111,5071,21.3529412
1111,5091,30.2857143
1111,6111,13.0454545
1111,7071,19.5882353
1111,7091,13.7716199
1111,8021,21.0701754
1111,8031,7
1111,8051,9.5
1111,8091,50.0411765
1111,8101,7.71428571
1111,8111,21.3529412
1111,8141,29.8590329
1111,9031,7.66666667
1111,10011,6.23076923
1111,10111,58.6423529
1111,11061,19.5882353
1111,12021,14.76
1111,12061,11.3333333
1111,13051,58.6423529
1111,13081,10.1333333
1111,54029,16.9226258
1111,54137,17.2890862
1111,54323,104.139038
1111,54575,20.062823
1111,57038,15.8526867
1111,57463,50.1713437
1111,57498,16.3745469
1111,57672,37.3519092
1111,57731,30.2857143
1111,57764,29.5509179
1111,62063,70.2455058
1111,63067,13.7716199
1111,81001,609.458197
1111,81003,33.5882878
1111,81004,49.6221496
1111,81013,13.7716199
1111,81015,67.0116389
1111,82003,14.8705237
1111,82014,30.5715851
1111,82036,33.9210883
